기준연월,분석영역,10대,20대,30대,40대,50대,60대,70대 이상
201504,부전2동,3650,20975,17169,13483,11173,5333,0
201504,부전1동,1263,6278,7469,7465,7979,4664,0
201504,우2동,3415,8615,15420,14944,10740,5133,0
201505,남포동,1524,3865,4393,4721,4968,3009,0
201505,우1동,4770,8944,15582,15939,12579,6408,0
201505,부전1동,1577,6529,7314,7269,7714,4580,0
201505,우2동,4467,9484,16151,15447,10905,5290,0
201505,괘법동,2799,7854,8099,9639,10498,4324,0
201505,부전2동,4771,22702,17245,13293,10954,5248,0
201506,우2동,3269,8344,13619,13911,10551,5082,0
201506,괘법동,2110,6897,7617,9673,10755,4296,0
201506,남포동,925,3297,3702,4234,4820,2914,0
201506,부전1동,993,5265,6326,6670,7551,4470,0
201506,부전2동,3073,18917,14915,11883,10289,4825,0
201506,우1동,4005,8401,14362,15164,12626,6403,0
201507,남포동,1255,3384,3810,4505,5025,2992,0
201507,부전1동,1100,5011,6076,6538,7352,4456,0
201507,우2동,4211,9460,15472,15755,11445,5455,0
201507,괘법동,2011,6083,7599,9820,10832,4302,0
201507,부전2동,3681,19043,14560,12052,10241,4924,0
201507,우1동,4740,9450,14493,15432,12462,6340,0
201508,남포동,1442,3923,4239,4870,5334,3190,0
201508,우2동,5094,10953,16945,17082,12475,5972,0
201508,부전1동,1167,5299,6166,6526,7369,4497,0
201508,부전2동,4038,20937,15236,12331,10476,5002,0
201508,우1동,5579,12471,16895,17399,14083,7166,0
201508,괘법동,2326,6941,8042,10259,11263,4509,0
201509,부전2동,3513,18605,14361,11584,10093,4925,0
201509,우2동,3932,9463,15757,15765,11859,5730,0
201509,우1동,4094,8015,13962,14623,12477,6579,0
201509,부전1동,1153,5235,6200,6515,7457,4624,0
201509,남포동,1177,3395,3965,4515,5099,3163,0
201509,괘법동,2353,7120,7609,9848,10910,4436,0
201510,부전1동,1257,5216,6151,6476,7465,4548,1940
201510,우1동,4587,8798,14931,15568,13170,6860,2992
201510,괘법동,2448,6939,7566,9924,11141,4513,1542
201510,부전2동,4048,19196,14821,12111,10688,5199,2093
201510,우2동,4209,10322,16739,16208,12198,5882,2252
201510,남포동,1366,3367,3938,4576,5214,3207,1281
201511,부전1동,1292,5355,6183,6627,7699,4654,1941
201511,괘법동,2452,6925,7406,9897,11030,4454,1515
201511,우1동,4860,8218,14381,15226,13106,6823,3019
201511,남포동,1313,3302,3770,4411,5090,3088,1205
201511,부전2동,4308,19816,14942,12506,11020,5349,2125
201511,우2동,5298,10470,16219,16119,12052,5834,2273
201512,우1동,4649,7669,12692,13569,11775,6369,2852
201512,부전1동,1192,4685,4792,4974,5959,4094,1820
201512,부전2동,4209,17828,11423,9238,8335,4526,1910
201512,남포동,1724,3417,3803,4537,5193,3262,1257
201512,우2동,5025,9823,15632,15401,11374,5689,2263
201512,괘법동,2314,6455,7079,9462,10653,4412,1492
201601,남포동,1350,3428,3686,4368,5213,3598,1482
201601,부전1동,1055,4926,4850,4706,5472,4411,2146
201601,우1동,4353,7957,12008,12805,11137,6741,3282
201601,우2동,4371,9714,15591,15820,11707,6612,2746
201601,괘법동,1932,6149,6986,8945,10976,5055,1737
201601,부전2동,3500,19953,11862,8696,7973,4907,2223
201602,우1동,4850,8314,12049,12483,10734,6658,3288
201602,괘법동,2213,6730,7265,9103,11049,5066,1813
201602,우2동,5266,10319,15739,15607,11110,6356,2726
201602,부전2동,4718,21910,12711,9113,8120,4962,2253
201602,남포동,1767,3791,3748,4316,4996,3454,1439
201602,부전1동,1290,5395,5147,4908,5653,4482,2167
201603,남포동,1169,3193,3674,4172,5143,3674,1552
201603,부전2동,3785,19158,12107,8907,8216,5185,2327
201603,괘법동,2407,7175,6926,8886,10822,4972,1767
201603,우2동,4638,10614,16740,15614,10862,6343,2699
201603,우1동,4404,7072,11981,12317,10570,6621,3235
201603,부전1동,1257,5275,5258,5097,5985,4779,2284
201604,우1동,4519,7239,11882,12266,10482,6675,3263
201604,괘법동,2426,7214,6901,8815,10929,5118,1788
201604,부전1동,1192,5069,5128,4878,5709,4614,2187
201604,남포동,1212,3250,3838,4362,5388,3859,1632
201604,부전2동,3559,18560,12002,8564,7943,5008,2232
201604,우2동,4542,10283,15829,14716,10374,6226,2648
201605,남포동,1531,3306,3784,4390,5316,3790,1617
201605,우1동,5166,7812,12268,12867,10794,6805,3381
201605,우2동,5640,10659,15684,14967,10551,6327,2700
201605,부전1동,1355,5150,5112,4936,5708,4610,2189
201605,괘법동,2636,7472,7193,9052,11131,5163,1845
201605,부전2동,4057,18518,11405,8201,7513,4668,2113
201606,우2동,5001,11512,16966,15566,10884,6517,2727
