기준연월,분석영역,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
201412,우1동,92219,104693,117564,121815,109055,70142,49127,45949,52193,56648,54852,56951,54046,54182,55510,57370,55046,53208,56897,57919,64748,68622,76793,83862
201412,괘법동,55790,58929,60439,58334,52713,49209,41413,34397,36842,40143,40034,44331,45437,44911,45624,46483,44265,43520,49570,47654,50507,50693,51246,52886
201412,부전1동,32952,36349,42666,48434,54152,49371,31030,20407,21502,26471,28866,34221,35111,35488,36178,37131,34667,32730,36224,32502,31027,30107,31042,31768
201412,우2동,39226,34680,32273,29269,28293,27952,28971,32544,41089,50132,53626,61486,64239,66001,69538,71028,67093,62720,67663,63833,60934,54556,50746,45925
201501,부전1동,32929,36388,41888,48197,52866,50043,35481,23754,23746,26699,29720,35221,37139,39949,40791,37457,38235,35187,38628,36691,31771,31878,32824,33543
201501,부전2동,128053,156077,182436,191248,175311,113264,58998,34874,35269,40949,48593,59990,67261,73521,75018,70243,73194,70489,83271,89952,85300,91426,103044,112423
201501,우2동,39344,36280,31696,27446,29710,27555,29718,31424,40151,47713,53032,61065,64808,69991,71557,65403,66657,60622,63864,61910,54729,50635,45540,41341
201501,괘법동,52808,55661,57571,55991,52948,48404,41656,35836,38257,38960,39875,43815,45249,46957,47379,43953,45213,43495,49745,49461,46779,48829,48735,50359
201501,남포동,28239,31435,33777,33448,33517,30286,23385,16716,15143,15809,17296,21549,24820,27576,29435,27521,28098,25758,27495,28693,26615,26338,26214,25530
201501,우1동,93391,103473,117038,117705,107683,72278,54016,50686,53716,55792,56121,58386,56265,57248,58027,54005,55800,52945,56426,61010,62687,69299,76349,83271
201502,남포동,28172,31190,34098,34177,32880,29321,21088,14679,13656,15334,16764,19225,23935,24960,27117,25768,26894,24739,26738,27443,26331,25309,25385,25180
201502,부전1동,32149,36365,42460,47263,54153,50697,33550,21970,22360,26909,29595,31946,36092,36401,37471,34998,36036,33194,36535,34806,31352,30206,31101,31853
201502,우2동,36753,32890,30974,27665,27578,26199,27993,30200,38972,47922,52536,54872,62712,62271,65209,61275,62924,57310,61023,58842,53789,49291,43515,40878
201502,괘법동,49804,54478,57939,56438,54681,48398,41872,33370,35151,37826,37591,37288,41040,39329,39629,37097,38331,37009,41922,42128,42074,42551,43270,46206
201502,부전2동,131687,160776,188636,196009,181938,116027,56097,32617,33799,41939,48932,55605,66464,68393,71216,67819,71815,69883,82298,88349,87396,90348,102271,113208
201502,우1동,87982,99043,110594,110483,102041,68801,49016,44954,51672,56790,56366,53931,55665,52928,54306,51705,53349,50919,55014,58232,62166,65927,72079,78920
201503,남포동,26156,30057,32772,32264,31900,26921,18501,12650,12370,14409,15604,17853,21851,21763,22915,23472,21944,22787,22954,23181,23742,22678,22761,23405
201503,괘법동,53231,57500,59647,57808,54844,47619,37727,31523,36041,39649,38305,38335,43190,39634,40377,40956,38633,40728,42759,41506,43750,43377,44629,48743
201503,부전2동,124356,154838,182388,186283,170176,102403,46925,29172,32866,41778,47777,54184,64921,63847,65003,66953,64192,69406,76099,79304,82802,84007,95954,106227
201503,우1동,92057,106031,122454,123564,110014,70161,48552,47063,51540,55059,52780,50476,53457,50929,52355,54107,51467,53302,53132,54790,61340,64115,71803,80554
201503,부전1동,33466,37640,44158,50002,54171,48819,30254,20455,22120,27465,29418,31974,36507,35662,36567,37155,34474,35421,36457,33568,31718,30286,31854,32910
201503,우2동,38039,33440,30926,28295,27198,26798,28673,33753,40279,48970,52750,54945,62301,60343,63124,64616,59836,60117,58726,54951,52897,47433,43930,41261
201504,우1동,93531,105691,121116,122265,107288,65868,48404,47509,52960,55340,52987,54881,52305,50238,51829,53337,50551,52231,51599,54378,61044,64066,71605,80767
201504,괘법동,52461,55775,57758,56448,52657,44896,37162,31965,36103,38798,37767,41292,41832,38983,40001,39945,37440,39473,41009,41130,43429,43004,44383,47340
201504,남포동,24270,27282,30068,29649,29207,24770,17405,12775,12509,14325,15539,19566,21541,21398,22253,22558,20868,21233,21207,21698,22360,21127,21129,21378
201504,부전2동,118521,144223,168511,177547,156464,89059,41985,28854,32662,41274,46938,58166,62410,61626,62994,64708,61154,65090,70925,74821,78458,79850,91484,102174
201504,부전1동,32959,36493,42688,50009,53428,46347,29651,20604,22608,27755,29391,34872,35916,34964,35769,36314,33320,34069,34830,32509,30955,29360,30898,32142
201504,우2동,38431,33977,30451,27522,27477,27022,28183,32146,40106,48098,51465,58102,59541,58156,60755,61598,56988,57583,56258,53329,51904,46888,43460,41155
201505,남포동,24042,27360,29472,29068,27974,21468,15732,12266,12054,13532,15551,17941,22278,22150,23397,23998,22367,23140,22932,24243,23666,22175,21761,22068
201505,우1동,92258,104115,118406,121204,109616,63672,47199,47432,52883,54537,56389,54118,57859,54085,55703,57430,54311,56711,55948,60749,65354,68896,76143,85219
201505,부전1동,32213,36374,43133,50373,54183,43517,28993,20835,22099,25811,29277,31704,36661,35402,35771,36533,33965,34911,35556,34179,31297,29911,30856,32698
201505,우2동,38969,34720,32687,31054,29663,27372,28784,33067,42481,49363,55557,58160,67382,64533,66436,66943,61620,61583,59486,57874,53304,48960,44807,43509
201505,괘법동,51245,55374,57339,55779,52111,43324,36010,31802,34722,36010,37253,36959,41631,37968,38316,38845,36567,39110,40818,42513,43161,42669,43700,48326
201505,부전2동,124183,153716,181997,193236,175411,89011,42265,28761,31859,38886,47409,53925,65557,64434,65995,67650,64585,69325,74508,79844,79996,82236,93685,108636
201506,우2동,37185,32637,29732,27098,26322,24699,26319,31339,38250,46860,50771,51951,56613,55973,58842,54299,56781,51112,54947,51658,47953,45317,41948,41074
201506,괘법동,48754,52736,54676,53587,49421,41779,34363,29783,33153,36978,36670,36421,39619,37120,37900,34971,36848,35225,40392,39300,39531,41362,41693,45879
201506,남포동,22921,25757,27185,26453,27042,21355,16780,12381,11990,13930,15132,16738,19592,19324,20433,19083,19878,18527,20433,20586,20217,20146,19995,20820
201506,부전1동,30381,34513,39632,47147,50182,40491,26619,18551,20331,25586,28013,29921,33009,32271,33091,30513,31207,28584,31787,29122,26543,26438,27213,29220
201506,부전2동,111526,137359,159257,165403,144574,72686,37258,24969,28741,37542,44087,48908,55868,55859,57409,53581,56471,54213,64391,67107,67373,73205,83368,96148
201506,우1동,91619,103284,114295,116001,101765,58661,44296,44294,50160,54571,53946,51616,53350,52273,54480,51410,54615,50109,54597,57102,60882,67256,73272,83294
201507,남포동,22970,25434,26147,25966,26049,21826,17337,13309,12721,14615,15965,18486,20713,22474,23692,21750,22229,20183,22712,23085,22235,21941,21098,21302
201507,부전1동,29485,32851,37395,43275,47119,39353,27154,19627,20624,25645,28025,30973,31672,33875,34566,31599,32220,28828,32652,30442,27456,27346,27443,28601
201507,우2동,40290,34893,31500,28151,27596,26113,30171,35142,41714,52167,57177,61341,63196,68320,70922,65097,66925,59783,66157,62521,56791,54587,49526,46582
201507,괘법동,46740,49190,50464,48763,46048,39893,35046,31455,34140,38111,38081,38884,38346,39559,40172,36745,37906,35527,41802,40860,40324,41421,40983,43905
201507,부전2동,109570,130553,148626,153707,137525,74380,39014,26888,29536,38437,45646,52698,56857,61897,63000,58791,60934,56793,68620,71439,70622,76050,84691,95078
201507,우1동,97619,108670,119879,118963,106912,65301,46797,45289,50019,56426,57496,57337,54788,57536,59618,55468,57699,53146,59676,63034,66503,74197,80525,89829
201508,남포동,24708,26982,28669,29160,28937,24206,18340,14367,13464,14648,15660,17847,21873,23655,25026,23472,24273,22708,22570,23300,23777,22818,22525,22277
201508,우2동,45068,40275,36749,33801,33552,29641,30850,35310,44378,55248,58580,61656,72030,74998,76541,71147,73275,66903,64818,60748,58944,57281,52118,48466
201508,부전1동,30911,34068,40505,48374,52017,43423,28346,20671,21309,24981,26373,28050,31469,33012,33291,31201,32016,29469,29587,27505,26659,26289,27613,28450
201508,부전2동,120032,145788,171845,181281,166192,90264,41950,28321,30398,37796,43717,48861,58145,62293,63335,60406,63168,60118,64084,67066,71434,76215,87409,98788
201508,우1동,118238,133123,154380,156614,143400,84704,52106,48614,54608,61214,61581,60247,63692,64642,65586,62307,65540,61800,62137,66183,75111,83026,93250,103106
201508,괘법동,50010,53876,56446,55578,52646,44440,36264,32871,36088,38717,37864,37227,40574,41286,41167,38395,39811,37933,39416,38911,40469,41545,41998,44894
201509,부전2동,115078,144616,173612,183136,160787,90878,39434,24789,26820,35098,43925,49720,53233,57360,54213,56185,54130,58256,62889,68633,70426,75936,87262,95235
201509,우2동,41182,36773,33795,31834,32149,30087,31819,33828,40843,50938,59391,62025,63579,68682,65879,66759,63125,63462,61345,58617,55109,52426,49401,44761
201509,우1동,89654,103788,118244,117423,103602,64687,45997,43899,47898,52246,55519,53196,51428,54028,51523,53531,51639,54033,53861,57801,62827,67670,73724,79209
201509,부전1동,32298,37577,45606,54517,58078,48326,29652,19613,20245,24804,28516,30880,31625,33344,31513,32259,30073,30736,30646,29450,27742,27934,29641,29983
201509,남포동,23918,27378,29976,30316,30544,27346,19063,13138,12237,14061,16500,18673,20587,22544,21934,22425,20957,21568,21530,22406,22052,21448,21495,21199
201509,괘법동,49077,52863,56305,57199,53523,45950,36824,29964,32551,36873,39376,39552,39698,40873,38564,39316,37186,38979,40394,40350,41036,41622,42945,44457
201510,부전1동,34040,38149,45642,54304,57398,50177,31396,18994,19998,24863,26968,31123,31695,33689,34362,32008,29801,30703,30976,29556,27499,28060,29705,31927
201510,우1동,104825,117087,133667,135774,118570,70685,47481,44518,49907,55645,55404,57057,54742,57470,59325,56671,54557,57830,58282,63915,67564,74273,81646,92326
201510,괘법동,52066,54611,57764,55994,52357,45562,36072,29658,32478,36867,37606,40225,39921,41123,41742,38987,36966,40014,41442,41805,41282,43030,43969,48203
201510,부전2동,122143,146166,176436,187066,165687,93497,42815,25150,27710,36567,43557,53068,57220,61675,63438,59853,57230,62056,67383,72592,72621,78492,89992,104252
201510,우2동,44106,38551,36409,33692,33337,30515,31659,35708,42605,54077,58926,65423,67071,72087,75138,70566,65935,67213,65040,62677,56511,54628,51411,48262
201510,남포동,23986,26157,28314,28668,29714,25792,17607,12329,11858,13944,15454,18835,21182,23335,24819,23273,21790,22540,22648,23237,22331,21814,21526,22023
201511,부전1동,35153,39159,46207,53975,56854,48735,31540,20088,20114,25497,28081,30462,31317,33411,34157,32289,30223,30663,32078,30129,28506,28213,30944,32030
201511,괘법동,52307,54974,58043,55855,51900,44279,37477,31225,32425,37463,37647,37996,38194,39357,40428,37805,36325,38581,41836,41237,41940,42241,44036,46731
201511,우1동,99397,109205,123764,123327,109767,68144,48849,46087,50334,56854,56974,55188,53465,56220,58160,55665,53721,55645,57426,60286,65089,68917,76716,84189
201511,남포동,23720,26078,28062,28321,29184,24954,18140,13218,11807,14000,15443,17639,19966,22044,23371,21975,20608,21071,21784,21936,21552,20689,20892,20738
201511,부전2동,123787,150201,177691,183770,159596,91138,45546,27466,28482,37854,45179,51948,56965,61928,63426,60792,58948,63163,72547,75670,75800,78158,91159,100001
201511,우2동,44016,38655,36715,33402,33427,30149,32791,36168,42287,54433,59850,62980,65451,70779,73922,69588,65746,66615,67040,62408,57718,54045,51298,46824
201512,우1동,88103,99817,115218,120601,108503,66735,45820,40219,46070,51636,54345,53437,51477,50014,51587,53682,51620,48669,50085,56434,59791,63451,70728,77693
201512,부전1동,29225,32592,39133,46633,49851,41558,26448,16045,16284,20265,22947,25703,26971,26613,27249,27787,25949,23863,25270,26000,24131,24294,26611,27327
201512,부전2동,105925,132208,157566,168378,149498,84967,39097,21459,22498,29243,35897,42766,48055,48438,50062,52189,50516,49406,57302,65870,64627,68518,80362,89664
201512,남포동,25581,27839,29428,30487,32368,28530,20753,13861,12242,13945,15592,18362,20899,21595,23177,23962,22766,21461,22666,25133,24632,23722,23717,23264
201512,우2동,43110,38703,37596,34578,33845,30758,33580,33553,40503,51114,58033,62262,65107,64658,68044,69732,66083,60992,62582,64229,57696,54030,51407,46806
201512,괘법동,51556,55176,58110,58033,52954,45981,37295,29918,31337,35513,37139,38181,38383,36613,37517,38291,36551,35717,38855,41288,41066,41898,43553,46877
